Squad,# Pl,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90
vs Arsenal,25,26.1,38,3420,90,100,38.0,418,83,259,157,21,185,0.68,34,69,-35,-0.92
vs Aston Villa,28,26.3,38,3420,90,100,38.0,418,80,263,157,18,185,1.03,51,58,-7,-0.18
vs Bournemouth,29,26.4,38,3420,90,100,38.0,418,83,254,160,20,182,1.24,46,58,-12,-0.32
vs Brentford,28,26.4,38,3420,90,100,38.0,418,85,251,165,20,177,1.32,57,66,-9,-0.24
vs Brighton,32,26.2,38,3420,90,100,38.0,418,82,254,163,20,179,1.05,59,66,-7,-0.18
vs Chelsea,29,26.5,38,3420,90,100,38.0,418,83,263,154,19,188,0.95,43,64,-21,-0.55
vs Crystal Palace,29,26.1,38,3420,90,100,38.0,418,83,259,156,20,186,1.24,51,51,0,0.0
vs Everton,26,26.2,38,3420,90,100,38.0,418,84,266,151,18,190,1.34,44,42,2,0.05
vs Fulham,26,26.3,38,3420,90,100,38.0,418,83,258,160,18,181,1.34,54,54,0,0.0
vs Ipswich Town,32,26.3,38,3420,90,100,38.0,418,82,255,162,18,178,2.16,82,36,46,1.21
vs Leicester City,32,26.3,38,3420,90,100,38.0,418,82,253,165,17,175,2.16,80,33,47,1.24
vs Liverpool,24,26.1,38,3420,90,100,38.0,418,82,257,160,20,179,0.55,41,86,-45,-1.18
vs Manchester City,30,26.2,38,3420,90,100,38.0,418,85,255,161,18,180,0.92,44,72,-28,-0.74
vs Manchester Utd,31,26.4,38,3420,90,100,38.0,418,81,256,159,17,183,1.66,54,44,10,0.26
vs Newcastle United,24,26.3,38,3420,90,100,38.0,418,83,254,161,19,180,1.11,47,68,-21,-0.55
vs Nottingham Forest,23,26.2,38,3420,90,100,38.0,418,83,255,162,20,180,1.08,46,58,-12,-0.32
vs Southampton,36,26.2,38,3420,90,100,38.0,418,80,249,168,19,172,2.53,86,26,60,1.58
vs Tottenham Hotspur,31,26.2,38,3420,90,100,38.0,418,82,259,158,18,184,1.87,65,64,1,0.03
vs West Ham United,27,26.1,38,3420,90,100,38.0,418,81,256,162,18,180,1.61,62,46,16,0.42
vs Wolves,32,26.2,38,3420,90,100,38.0,418,83,249,166,20,176,1.74,69,54,15,0.39
