Squad,# Pl,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90
Arsenal,25,25.8,38,3420,90,100,38.0,418,83,272,142,18,200,1.95,69,34,35,0.92
Aston Villa,28,27.0,38,3420,90,100,38.0,418,80,246,170,23,170,1.74,58,51,7,0.18
Bournemouth,29,25.1,38,3420,90,100,38.0,418,83,254,162,18,180,1.47,58,46,12,0.32
Brentford,28,25.8,38,3420,90,100,38.0,418,85,277,142,15,200,1.47,66,57,9,0.24
Brighton,32,24.8,38,3420,90,100,38.0,418,82,231,184,18,158,1.61,66,59,7,0.18
Chelsea,29,23.7,38,3420,90,100,38.0,418,83,277,140,19,202,1.82,64,43,21,0.55
Crystal Palace,29,26.2,38,3420,90,100,38.0,418,83,268,148,18,192,1.39,51,51,0,0.0
Everton,26,28.0,38,3420,90,100,38.0,418,84,286,130,19,211,1.26,42,44,-2,-0.05
Fulham,26,28.1,38,3420,90,100,38.0,418,83,239,179,17,163,1.42,54,54,0,0.0
Ipswich Town,32,25.8,38,3420,90,100,38.0,418,82,237,178,17,164,0.58,36,82,-46,-1.21
Leicester City,32,26.5,38,3420,90,100,38.0,418,82,250,168,19,174,0.66,33,80,-47,-1.24
Liverpool,24,27.2,38,3420,90,100,38.0,418,82,252,165,20,177,2.21,86,41,45,1.18
Manchester City,30,26.8,38,3420,90,100,38.0,418,85,286,131,16,207,1.87,72,44,28,0.74
Manchester Utd,31,25.5,38,3420,90,100,38.0,418,81,256,161,23,180,1.11,44,54,-10,-0.26
Newcastle United,24,27.4,38,3420,90,100,38.0,418,83,254,163,18,179,1.74,68,47,21,0.55
Nottingham Forest,23,26.1,38,3420,90,100,38.0,418,83,249,167,18,174,1.71,58,46,12,0.32
Southampton,36,25.2,38,3420,90,100,38.0,418,80,237,180,22,162,0.32,26,86,-60,-1.58
Tottenham Hotspur,31,25.0,38,3420,90,100,38.0,418,82,261,158,22,183,1.0,64,65,-1,-0.03
West Ham United,27,28.1,38,3420,90,100,38.0,418,81,243,172,22,170,1.13,46,62,-16,-0.42
Wolves,32,26.9,38,3420,90,100,38.0,418,83,250,167,18,174,1.11,54,69,-15,-0.39
